Unnamed: 0,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,text_length,sentiment,topic,action_item
16457,836,59,Love,Beautiful top and beautiful bright color. this does run 2 sizes small in arms and chest unless you are very narrow in stature and flat chested . i am usually a size 6 and a 36c and broad shoulders and size 10 just its in underarm area. i have short torso so love the length but those with very long torso may find this blouse too short. if you get the right size this topics really adorable. my husband also gave it a big thumbs up.,5,1,1,General,Tops,Blouses,86,Negative,Sizing_Fit,"Update size guide to recommend sizing up two sizes, especially for customers with broader shoulders or larger busts."
2512,1095,34,Beautiful and flowy,"Love the colors and pattern. i am normally a m/l. i ordered a large as that's all they had in stock and it fits fine though the medium would probably have fit a little better for me. it is very long, even for me and i'm 5' 9.",5,1,0,General,Dresses,Dresses,48,Positive,Design_Style,Maintain current design aesthetic.
15581,867,33,Flattering!,"Super flattering fit. i am generally a large, large, and the medium of this shirt fit really well. the drape of the fabric was very forgiving of my tummy. great look. also my 1 year old son loves the colors and flowers!",4,1,1,General Petite,Tops,Knits,42,Positive,Sizing_Fit,Highlight the flattering and forgiving fit in product descriptions and sizing guides.
18570,829,52,Great top,"Great top. i bought it for my daughter and it is well made and the fabric is very nice. she is 5'4"" and it reaches just the top of her jeans.",5,1,1,General,Tops,Blouses,31,Positive,Design_Style,Continue offering visually appealing and well-received top designs.
13118,1094,41,Versatile & comfortable,"Got several compliments on the dress the first time i wore it, and know it will work well for both the office, church and even a holiday party or two. i'm right on the line between petite & regular sizes, and could have gone w/a petite (probably medium) size instead as the dress is just a touch long with a deeper neckline for my frame. otherwise it fits well and the color is great, even if it's not quite the same as in the photo. overall, i'm satisfied with my purchase!",4,1,0,General,Dresses,Dresses,91,Positive,Design_Style,Emphasize the dress's versatility for various occasions in marketing materials.
5462,909,60,,I'm on the fence about this one. it is pretty,3,1,0,General,Tops,Fine gauge,10,Positive,Design_Style,Emphasize the aesthetic appeal of the product in marketing.
6482,150,56,This product adds volume.,This jacket is very cozy but i had to send it back. i think it will be great on a taller person.,3,1,0,Initmates,Intimate,Sleep,22,Positive,Quality,Highlight the cozy attribute in product marketing and descriptions.
14069,1110,24,Beautiful dress,"This is one of my new favorite dresses!! i ordered this in pink, and think it looks even more gorgeous in person that it does on the model. it's more of a reddish color. the dress hugs my body in a flattering way. i'm a 34b and the dress fits very comfortably, but it might be a tight fit for someone with a larger bust. i'm usually a small for retailer dresses and the small fit like a glove. it is wonderfully flowy and extremely elegant. i can't wait to wear this out!!",5,1,4,General Petite,Dresses,Dresses,93,Positive,Design_Style,"Update product images to better reflect the true color of the dress, noting its reddish undertones."
13515,909,44,"Stylish, soft, and great color","I love this sweater! i ordered the xs petite. it fits perfectly! it is soft. i hate itchy sweaters. the ""peach"" color is actually more pink, but i love the color. great buy! i'm ordering another one.",5,1,0,General,Tops,Fine gauge,37,Positive,Sizing_Fit,"Maintain consistent sizing, especially for petite options."
16386,872,45,Lots of compliments,I bought this top in the wine color. i just love it. as soon as i wore it i received compliments because it has so many unique details. i bought a medium and it was just the right size.,5,1,0,General,Tops,Knits,39,Positive,Design_Style,Highlight unique design details that draw compliments in product descriptions and marketing.
